The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['softmax', 100], ['linear', 100], ['relu', 100], 'softmax'], R is -45.85
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['softmax', 100], ['linear', 100], ['relu', 100], 'softplus'], R is -0.06
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['softmax', 100], ['linear', 100], ['relu', 100], 'selu'], R is -4363.38
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['softplus', 100], ['linear', 100], ['relu', 100], 'linear'], R is 0.23
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'], R is 0.29
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['softplus', 100], ['linear', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['softplus', 100], ['linear', 100], ['relu', 100], 'elu'], R is 0.28
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['softplus', 100], ['linear', 100], ['relu', 100], 'softmax'], R is -45.33
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['softplus', 100], ['linear', 100], ['relu', 100], 'softplus'], R is -0.14
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['softplus', 100], ['linear', 100], ['relu', 100], 'selu'], R is 0.05
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['selu', 100], ['linear', 100], ['relu', 100], 'linear'], R is -3.01
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['selu', 100], ['linear', 100], ['relu', 100], 'tanh'], R is 0.27
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['selu', 100], ['linear', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['selu', 100], ['linear', 100], ['relu', 100], 'elu'], R is -0.43
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['selu', 100], ['linear', 100], ['relu', 100], 'softmax'], R is -45.32
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['selu', 100], ['linear', 100], ['relu', 100], 'softplus'], R is -0.12
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['selu', 100], ['linear', 100], ['relu', 100], 'selu'], R is 0.25
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['elu', 100], 'linear'], R is -1.28
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['elu', 100], 'tanh'], R is -2.81
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['elu', 100], 'relu'], R is -0.07
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['elu', 100], 'elu'], R is -0.34
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['elu', 100], 'softmax'], R is -45.35
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['elu', 100], 'softplus'], R is -0.02
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['elu', 100], 'selu'], R is -4.79
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['elu', 100], 'linear'], R is -2.31
The best_R for now is 0.2947 and combination is [['softplus', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['elu', 100], 'tanh'], R is -0.25
