For this combination [['linear', 50], ['linear', 50], ['linear', 50], 'linear'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 50], ['linear', 50], ['tanh', 100], 'linear'], R is -1.52
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 50], ['linear', 50], ['tanh', 100], 'tanh'], R is -0.12
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 50], ['linear', 50], ['tanh', 100], 'relu'], R is -13.42
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 100], ['linear', 50], ['tanh', 100], 'linear'], R is 0.12
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 100], ['linear', 50], ['tanh', 100], 'tanh'], R is -0.41
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 100], ['linear', 50], ['tanh', 100], 'relu'], R is -0.60
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 120], ['linear', 50], ['tanh', 100], 'linear'], R is -0.83
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 120], ['linear', 50], ['tanh', 100], 'tanh'], R is -0.32
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 120], ['linear', 50], ['tanh', 100], 'relu'], R is -0.09
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 50], ['linear', 50], ['tanh', 100], 'linear'], R is -0.24
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 50], ['linear', 50], ['tanh', 100], 'tanh'], R is 0.19
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 50], ['linear', 50], ['tanh', 100], 'relu'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 50], ['tanh', 100], 'linear'], R is 0.11
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 50], ['tanh', 100], 'tanh'], R is -1.12
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 50], ['tanh', 100], 'relu'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 120], ['linear', 50], ['tanh', 100], 'linear'], R is -0.15
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 120], ['linear', 50], ['tanh', 100], 'tanh'], R is 0.22
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 120], ['linear', 50], ['tanh', 100], 'relu'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 50], ['linear', 50], ['tanh', 100], 'linear'], R is -0.12
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 50], ['linear', 50], ['tanh', 100], 'tanh'], R is 0.13
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 50], ['linear', 50], ['tanh', 100], 'relu'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 100], ['linear', 50], ['tanh', 100], 'linear'], R is 0.13
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 100], ['linear', 50], ['tanh', 100], 'tanh'], R is 0.03
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 100], ['linear', 50], ['tanh', 100], 'relu'], R is -0.85
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 120], ['linear', 50], ['tanh', 100], 'linear'], R is 0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 120], ['linear', 50], ['tanh', 100], 'tanh'], R is 0.14
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 120], ['linear', 50], ['tanh', 100], 'relu'], R is -0.10
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 50], ['linear', 50], ['tanh', 120], 'linear'], R is 0.01
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 50], ['linear', 50], ['tanh', 120], 'tanh'], R is -0.83
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 50], ['linear', 50], ['tanh', 120], 'relu'], R is -7.04
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 100], ['linear', 50], ['tanh', 120], 'linear'], R is -0.14
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 100], ['linear', 50], ['tanh', 120], 'tanh'], R is -2.09
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 100], ['linear', 50], ['tanh', 120], 'relu'], R is -3.37
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 120], ['linear', 50], ['tanh', 120], 'linear'], R is -0.90
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 120], ['linear', 50], ['tanh', 120], 'tanh'], R is -0.76
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 120], ['linear', 50], ['tanh', 120], 'relu'], R is -0.47
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 50], ['linear', 50], ['tanh', 120], 'linear'], R is 0.17
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 50], ['linear', 50], ['tanh', 120], 'tanh'], R is -0.13
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 50], ['linear', 50], ['tanh', 120], 'relu'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 50], ['tanh', 120], 'linear'], R is 0.02
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 50], ['tanh', 120], 'tanh'], R is -0.15
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 50], ['tanh', 120], 'relu'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 120], ['linear', 50], ['tanh', 120], 'linear'], R is -0.01
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 120], ['linear', 50], ['tanh', 120], 'tanh'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 120], ['linear', 50], ['tanh', 120], 'relu'], R is -0.07
